epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1775,1.60995,4.73302,1.36742,0.00108,0.01875,0.0052,0.0039,1.0312,4.67743,1.07847,4.284e-05,4.284e-05,4.284e-05
2,184.261,1.25414,4.3714,1.07639,0.00726,0.06292,0.05576,0.04075,0.98161,4.45068,0.93387,9.19011e-05,9.19011e-05,9.19011e-05
3,268.949,1.36109,3.7856,1.08028,0.00675,0.06563,0.06414,0.05073,0.97709,4.37124,0.91137,0.000139973,0.000139973,0.000139973
4,353.044,1.34654,3.2824,1.02912,1,0.02421,0.06658,0.054,0.91953,4.21113,0.88521,0.000187054,0.000187054,0.000187054
5,437.35,1.35894,2.90367,1.01334,0.9952,0.06197,0.07407,0.05508,0.9231,3.95726,0.875,0.000233147,0.000233147,0.000233147
6,524.42,1.24621,2.5813,1.00286,0.9956,0.05937,0.13504,0.10928,0.92333,3.80934,0.87019,0.000278249,0.000278249,0.000278249
7,609.531,1.23822,2.4364,0.95588,0.02718,0.57693,0.32229,0.2581,0.88272,3.58462,0.86845,0.000322362,0.000322362,0.000322362
8,701.626,1.14128,2.18695,0.9369,0.91305,0.10853,0.34538,0.266,0.94481,3.48963,0.87698,0.000365486,0.000365486,0.000365486
9,796.463,1.20021,2.17725,0.94639,0.03726,0.7032,0.39016,0.30923,0.89195,3.35396,0.86954,0.00040762,0.00040762,0.00040762
10,909.165,1.1074,2.0154,0.92951,0.49016,0.24312,0.37425,0.29463,0.88142,3.29262,0.87669,0.000448764,0.000448764,0.000448764
11,1016.12,1.08291,1.93194,0.9055,0.92985,0.08111,0.38538,0.30359,0.83241,3.24068,0.87404,0.000488919,0.000488919,0.000488919
12,1113.79,1.14529,1.90205,0.94133,0.9,0.07356,0.4139,0.33444,0.9493,2.91892,0.91659,0.000528084,0.000528084,0.000528084
13,1209.08,0.9692,1.66896,0.89498,0.66655,0.13808,0.44097,0.35421,0.93712,2.70718,0.91669,0.000566259,0.000566259,0.000566259
14,1305.17,1.02581,1.76979,0.92845,0.56598,0.27122,0.46045,0.37407,0.85256,2.39783,0.89542,0.000603445,0.000603445,0.000603445
15,1401.53,0.98779,1.70392,0.91089,0.52387,0.54601,0.46956,0.39063,0.88362,2.06367,0.92805,0.00061504,0.00061504,0.00061504
16,1496.73,0.90814,1.56128,0.88722,0.54687,0.62373,0.4962,0.40611,0.80977,1.79744,0.8748,0.000607971,0.000607971,0.000607971
17,1592.06,0.96646,1.57127,0.89883,0.56523,0.60892,0.50383,0.40856,0.82337,1.8276,0.8772,0.000600902,0.000600902,0.000600902
18,1687.11,0.96568,1.58903,0.90702,0.53257,0.66336,0.50259,0.41632,0.77854,1.64965,0.87152,0.000593834,0.000593834,0.000593834
19,1793.14,0.95702,1.53063,0.901,0.54594,0.68219,0.52779,0.43272,0.74751,1.6064,0.86125,0.000586765,0.000586765,0.000586765
20,1890.47,0.92076,1.49351,0.90245,0.52059,0.6845,0.51833,0.43281,0.73023,1.58032,0.86624,0.000579697,0.000579697,0.000579697
21,1981.44,0.89452,1.44791,0.89108,0.52277,0.69384,0.517,0.42219,0.73016,1.54709,0.86254,0.000572628,0.000572628,0.000572628
22,2072.11,0.93917,1.49256,0.91407,0.55721,0.69954,0.51476,0.43371,0.71867,1.52936,0.85947,0.000565559,0.000565559,0.000565559
23,2163.23,0.86986,1.45904,0.90057,0.57289,0.70985,0.51463,0.42962,0.73405,1.55189,0.85467,0.000558491,0.000558491,0.000558491
24,2252.87,0.86235,1.43124,0.88056,0.55345,0.704,0.52987,0.45539,0.68182,1.39746,0.84617,0.000551422,0.000551422,0.000551422
25,2343.5,0.88095,1.37241,0.88345,0.54293,0.68574,0.53692,0.45469,0.70166,1.37403,0.84891,0.000544354,0.000544354,0.000544354
26,2441.59,0.81003,1.37514,0.87007,0.51501,0.69941,0.5384,0.44544,0.7011,1.47351,0.84766,0.000537285,0.000537285,0.000537285
27,2532.63,0.86491,1.43359,0.89634,0.55737,0.71685,0.54626,0.46787,0.67236,1.35925,0.84016,0.000530216,0.000530216,0.000530216
