epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.581,0.65482,3.73483,0.98649,0.84083,1,0.95581,0.83578,0.58213,3.09415,0.85975,6e-05,6e-05,6e-05
2,224.56,0.51835,1.8799,0.88066,0.91391,1,0.995,0.86183,0.60231,3.62887,0.85675,0.000138614,0.000138614,0.000138614
3,349.088,0.53411,1.35076,0.91636,0.97957,1,0.995,0.86324,0.57095,2.80098,0.86229,0.000215644,0.000215644,0.000215644
4,446.961,0.5975,1.05052,0.89019,0.99589,1,0.995,0.85913,0.55202,1.31234,0.85696,0.00029109,0.00029109,0.00029109
5,544.67,0.60802,0.8976,0.90034,0.99108,1,0.995,0.87066,0.54562,1.55749,0.83816,0.000364952,0.000364952,0.000364952
6,644.516,0.63519,0.79906,0.9163,0.93425,1,0.995,0.86154,0.53872,1.46574,0.84289,0.00043723,0.00043723,0.00043723
7,754.915,0.58441,0.7831,0.89029,0.98184,1,0.995,0.87903,0.5358,1.53211,0.83235,0.000507924,0.000507924,0.000507924
8,855.873,0.57388,0.75954,0.9215,0.991,1,0.995,0.89285,0.49707,1.35857,0.84849,0.000577034,0.000577034,0.000577034
9,962.725,0.596,0.70467,0.95227,0.76145,1,0.98364,0.83,0.63632,2.05513,0.89912,0.00064456,0.00064456,0.00064456
10,1068.83,0.65065,0.79627,0.9528,0.512,0.98775,0.54714,0.42066,0.74016,2.01425,0.98963,0.000710502,0.000710502,0.000710502
11,1164.09,0.59841,0.7245,0.93445,0.97792,1,0.995,0.73155,0.76218,1.34091,1.05527,0.00077486,0.00077486,0.00077486
12,1251.95,0.67285,0.75009,0.95772,0.82649,0.94118,0.94236,0.72229,0.83734,0.78993,1.00425,0.000837634,0.000837634,0.000837634
13,1364.86,0.63606,0.6129,0.89805,0.52186,0.5143,0.57038,0.45495,0.91846,1.74678,1.17798,0.000898824,0.000898824,0.000898824
14,1454.42,0.65851,0.61569,0.93579,0.91584,0.64067,0.70887,0.5909,0.83128,1.69092,1.04665,0.00095843,0.00095843,0.00095843
15,1543.42,0.60638,0.55588,0.92176,0.94386,0.98957,0.99222,0.84068,0.66158,1.01345,0.9345,0.00101645,0.00101645,0.00101645
16,1633.02,0.6192,0.57276,0.9124,0.99124,1,0.995,0.8797,0.61874,1.04794,0.90706,0.00107289,0.00107289,0.00107289
17,1725.47,0.65771,0.55674,0.9412,0.99114,1,0.995,0.85577,0.64553,1.19327,0.93688,0.00112774,0.00112774,0.00112774
18,1814.23,0.68191,0.60943,0.98035,0.73913,0.94118,0.9112,0.70809,0.75311,1.47744,0.94653,0.00118101,0.00118101,0.00118101
19,1902.8,0.6331,0.51935,0.95835,0.77333,0.88235,0.89602,0.7595,0.69899,1.21717,0.93528,0.0012327,0.0012327,0.0012327
20,1990.21,0.63156,0.5365,0.947,0.21252,0.82353,0.25187,0.18485,0.72955,3.42777,0.97061,0.0012828,0.0012828,0.0012828
21,2078.26,0.6279,0.4969,0.93328,0.94395,0.99118,0.99222,0.7856,0.67852,1.20526,0.92253,0.00133132,0.00133132,0.00133132
22,2164.22,0.66432,0.50747,0.91831,1,0.98984,0.995,0.84162,0.6755,0.82237,0.92062,0.00137825,0.00137825,0.00137825
23,2251.69,0.59247,0.55132,0.92794,0.87678,0.94118,0.93323,0.71923,0.73853,0.97809,0.94155,0.0014236,0.0014236,0.0014236
24,2338.32,0.64668,0.55932,0.94876,0.66468,0.52941,0.61759,0.43994,0.93528,1.34862,1.05496,0.00146737,0.00146737,0.00146737
25,2425.29,0.62873,0.47855,0.92544,0.15533,0.35294,0.20475,0.11581,1.22126,2.31712,1.31076,0.00150955,0.00150955,0.00150955
26,2512.72,0.61421,0.56137,0.9195,0.31876,0.47059,0.29239,0.17794,1.25912,2.13149,1.36204,0.001505,0.001505,0.001505
27,2599.48,0.62576,0.51972,0.91876,0.45875,0.74828,0.55877,0.39914,1.09442,1.4975,1.17934,0.0014852,0.0014852,0.0014852
28,2687.69,0.64044,0.52295,0.94851,0.63032,0.52941,0.46203,0.37643,0.92171,2.04619,1.0731,0.0014654,0.0014654,0.0014654
29,2776.6,0.66994,0.50797,0.91956,0.75587,0.91134,0.87206,0.68447,0.83793,1.24157,0.98778,0.0014456,0.0014456,0.0014456
30,2865.36,0.64642,0.49359,0.93924,0.80248,0.94118,0.95347,0.79723,0.70946,0.89094,0.92663,0.0014258,0.0014258,0.0014258
31,2954.38,0.6353,0.49663,0.92422,0.79829,0.94118,0.95058,0.78774,0.71364,0.87041,0.93761,0.001406,0.001406,0.001406
32,3043.59,0.63365,0.63615,1.00762,0.98706,0.94118,0.99222,0.78363,0.83563,0.64013,1.0019,0.0013862,0.0013862,0.0013862
33,3132.01,0.67555,0.48676,0.95481,0.80338,0.82353,0.91662,0.71102,0.83908,0.7118,0.96251,0.0013664,0.0013664,0.0013664
34,3220.61,0.60695,0.43285,0.92311,0.71186,0.88235,0.85441,0.60609,1.10928,0.91862,1.2004,0.0013466,0.0013466,0.0013466
35,3308.8,0.62988,0.45977,0.90617,0.8471,0.97839,0.95581,0.75265,0.81017,0.82863,0.96759,0.0013268,0.0013268,0.0013268
36,3396.61,0.57586,0.44856,0.94125,0.86438,0.94118,0.97333,0.78026,0.78702,0.85736,0.96273,0.001307,0.001307,0.001307
37,3485.73,0.5677,0.42042,0.88364,0.91673,1,0.98222,0.77516,0.75138,0.82684,0.93828,0.0012872,0.0012872,0.0012872
38,3574.56,0.61922,0.4349,0.96125,0.9384,1,0.995,0.79898,0.71766,0.70898,0.92118,0.0012674,0.0012674,0.0012674
39,3662.37,0.56749,0.42055,0.91905,0.99114,1,0.995,0.8298,0.67501,0.5813,0.91108,0.0012476,0.0012476,0.0012476
40,3751.4,0.55328,0.39933,0.8977,0.99332,1,0.995,0.86096,0.5882,0.58252,0.86642,0.0012278,0.0012278,0.0012278
41,3839.61,0.54788,0.3826,0.88885,0.98918,1,0.995,0.85184,0.61567,0.73125,0.89075,0.001208,0.001208,0.001208
42,3926.74,0.56386,0.39441,0.90567,0.99235,1,0.995,0.84664,0.63281,0.67774,0.89856,0.0011882,0.0011882,0.0011882
43,4014.78,0.54275,0.38491,0.90202,0.98759,1,0.995,0.8426,0.65238,0.54412,0.91478,0.0011684,0.0011684,0.0011684
44,4102.38,0.55353,0.38487,0.90206,0.99261,1,0.995,0.85167,0.62488,0.49217,0.89635,0.0011486,0.0011486,0.0011486
45,4189.76,0.54387,0.39068,0.87672,0.98591,1,0.995,0.88186,0.59562,0.57256,0.88776,0.0011288,0.0011288,0.0011288
46,4279.34,0.55126,0.40339,0.90573,0.98116,1,0.995,0.8902,0.58208,0.7266,0.89145,0.001109,0.001109,0.001109
47,4368.17,0.52508,0.38187,0.89514,0.82646,0.94118,0.9336,0.80572,0.61093,0.97357,0.91666,0.0010892,0.0010892,0.0010892
48,4456,0.55053,0.39982,0.88722,0.79489,1,0.90581,0.69821,0.73307,1.04984,0.99431,0.0010694,0.0010694,0.0010694
49,4544.15,0.55769,0.40927,0.89886,0.93267,1,0.995,0.84871,0.71101,0.7477,0.96925,0.0010496,0.0010496,0.0010496
50,4633.2,0.54544,0.37272,0.89751,0.97051,1,0.995,0.87595,0.67215,0.64725,0.92051,0.0010298,0.0010298,0.0010298
51,4720.9,0.53533,0.36495,0.90078,1,0.99444,0.995,0.83802,0.71686,0.5595,0.91547,0.00101,0.00101,0.00101
52,4808.1,0.53519,0.38844,0.88724,0.93593,1,0.99222,0.83732,0.67093,0.56027,0.9023,0.0009902,0.0009902,0.0009902
53,4895.14,0.57273,0.39722,0.86878,0.97863,0.94118,0.98548,0.84319,0.6585,0.5929,0.9084,0.0009704,0.0009704,0.0009704
54,4982.51,0.54087,0.37384,0.89124,0.92102,1,0.98889,0.83357,0.6734,0.64672,0.91339,0.0009506,0.0009506,0.0009506
55,5068.64,0.49739,0.36649,0.89072,0.99213,0.94118,0.98974,0.8309,0.67449,0.64847,0.91408,0.0009308,0.0009308,0.0009308
56,5155.18,0.51137,0.36532,0.86892,0.94337,0.94118,0.99222,0.83896,0.65715,0.56877,0.89684,0.000911,0.000911,0.000911
57,5242.49,0.54712,0.35547,0.89516,0.99317,1,0.995,0.85557,0.65232,0.42806,0.8893,0.0008912,0.0008912,0.0008912
58,5329.76,0.52352,0.36744,0.87344,0.99561,1,0.995,0.83859,0.64708,0.38347,0.89398,0.0008714,0.0008714,0.0008714
59,5417.46,0.51892,0.35243,0.87282,0.99612,1,0.995,0.83142,0.60258,0.37985,0.87707,0.0008516,0.0008516,0.0008516
60,5504.41,0.51445,0.36937,0.87624,0.99406,1,0.995,0.85618,0.59858,0.39183,0.8774,0.0008318,0.0008318,0.0008318
61,5592.06,0.51884,0.37558,0.90691,0.9937,1,0.995,0.85818,0.59634,0.40163,0.87439,0.000812,0.000812,0.000812
62,5679.9,0.52455,0.33545,0.89389,0.99513,1,0.995,0.88706,0.58334,0.38154,0.86973,0.0007922,0.0007922,0.0007922
63,5768.65,0.48882,0.33309,0.86948,0.99598,1,0.995,0.86827,0.58627,0.39672,0.86289,0.0007724,0.0007724,0.0007724
64,5857.88,0.49381,0.32191,0.87039,0.99656,1,0.995,0.86488,0.57991,0.39545,0.86735,0.0007526,0.0007526,0.0007526
65,5946.98,0.5255,0.35587,0.8819,0.99668,1,0.995,0.87688,0.56717,0.37144,0.86714,0.0007328,0.0007328,0.0007328
66,6036.49,0.49785,0.32378,0.86688,0.99602,1,0.995,0.879,0.5599,0.36417,0.86362,0.000713,0.000713,0.000713
67,6126.31,0.47173,0.33309,0.87929,0.99555,1,0.995,0.86806,0.55632,0.34708,0.86382,0.0006932,0.0006932,0.0006932
